@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {classifierData/Instrumentals,classifierData/Drums}

@DATA
0.040101,0.021632,3.227401,0.116476,0.189027,0.099678,0.010074,0.047094,-27.509650,1.148159,-2.211309,-0.276794,0.239185,-0.408503,-0.426384,-0.020061,0.027920,0.049553,0.164667,0.094545,-0.046134,0.076770,0.005246,0.014324,0.019618,0.001365,0.018086,0.001795,0.002245,0.015194,0.006859,0.001497,0.001313,0.036100,0.000522,-0.000021,0.002108,0.000690,0.000543,0.000434,0.000051,0.000176,0.003511,-0.022903,-0.013315,0.007841,0.025742,-0.005431,-0.018444,0.008911,0.024827,0.002541,-0.020330,-0.007170,0.003942,0.003468,0.000549,-0.000004,-0.000206,-0.000405,-0.000039,-0.000064,-0.000020,-0.000275,-0.001113,-0.000145,-0.000029,0.000540,0.006144,0.027187,0.184518,0.022601,0.022214,0.080919,0.013043,0.010198,1.933020,0.665595,0.419763,0.356151,0.396133,0.397008,0.335239,0.322540,0.305404,0.309243,0.366248,0.239336,0.179287,0.060365,0.005474,0.019856,0.023298,0.002279,0.016546,0.001520,0.003526,0.019932,0.006870,0.001100,0.000985,0.018851,0.005620,0.020936,0.272693,0.027089,0.028032,0.080452,0.017115,0.012742,1.373081,0.607947,0.438411,0.352422,0.414389,0.310302,0.308824,0.299471,0.365521,0.256723,0.322570,0.236031,0.221843,0.049607,0.006545,0.011846,0.019138,0.002028,0.015190,0.001898,0.003416,0.010713,0.008644,0.001216,0.000885,0.015191,classifierData/Instrumentals
0.043963,0.014711,3.171126,0.109035,0.149336,0.343252,0.007398,0.069646,-27.654511,0.832696,-0.977927,-0.403049,-0.693308,-0.535802,-0.150030,0.129235,0.090467,0.188602,-0.292968,-0.188138,-0.010409,0.026514,0.033402,0.006134,0.006369,0.005497,0.005933,0.004622,0.009737,0.007472,0.008260,0.023605,0.024676,0.025260,-0.000060,-0.000020,0.012721,0.000394,0.000314,0.000419,-0.000041,0.000355,-0.210063,0.019081,0.006062,0.018107,0.029630,0.005783,0.008594,0.008618,-0.010216,-0.012427,0.000430,0.003277,-0.001350,0.000343,0.000114,0.000018,0.000060,0.000310,0.000101,0.000055,0.000038,0.000203,-0.000141,0.000450,-0.001712,-0.000454,0.014373,0.011523,0.248509,0.021175,0.034864,0.231968,0.007758,0.030027,2.604112,0.803047,0.521577,0.351019,0.320819,0.310279,0.326124,0.330413,0.420767,0.370682,0.360668,0.329753,0.296542,0.024689,0.033597,0.005645,0.007341,0.006939,0.008110,0.004854,0.010989,0.009458,0.009498,0.024619,0.021077,0.010981,0.008883,0.009718,0.329693,0.029112,0.044857,0.146558,0.010232,0.020966,1.872609,0.771963,0.491162,0.409661,0.352338,0.298548,0.285534,0.308147,0.288810,0.286551,0.262070,0.221919,0.239319,0.015000,0.017917,0.004628,0.005819,0.005479,0.006657,0.003613,0.008821,0.006312,0.007083,0.019157,0.015778,0.008439,classifierData/Instrumentals
0.041175,0.033189,3.190351,0.097403,0.151625,0.048270,0.013756,0.048159,-26.606332,1.429153,-2.022686,0.389882,0.195903,-0.637283,-0.449775,-0.378035,-0.185731,-0.165490,-0.164748,0.005101,0.159415,0.017123,0.001043,0.028267,0.027381,0.007638,0.009773,0.002999,0.007163,0.023291,0.011567,0.045423,0.002278,0.035217,-0.000043,-0.000093,0.000987,-0.000025,0.000004,-0.000149,-0.000038,-0.000137,-0.006325,0.001892,0.002211,0.002278,0.009578,0.005491,0.001521,0.008214,0.001516,-0.000514,0.003703,-0.000290,-0.005111,-0.000009,-0.000005,0.001332,-0.000008,-0.000052,-0.000055,-0.000007,-0.000035,-0.000013,-0.000040,-0.000342,-0.000016,0.000293,0.008325,0.041942,0.219543,0.031279,0.046485,0.056817,0.016859,0.009479,1.740868,0.890729,0.459100,0.416437,0.352135,0.351295,0.360908,0.387041,0.274070,0.299243,0.339052,0.305810,0.209826,0.019805,0.001019,0.030921,0.028972,0.007370,0.013123,0.003039,0.012236,0.024889,0.016422,0.040709,0.002897,0.017219,0.006043,0.041427,0.320231,0.043536,0.065719,0.082357,0.021653,0.010654,1.650762,0.933705,0.477789,0.423632,0.402753,0.347246,0.353485,0.307905,0.276395,0.271244,0.258622,0.236987,0.186960,0.011956,0.001228,0.021114,0.023195,0.007721,0.010763,0.002697,0.010743,0.017425,0.011988,0.034233,0.003191,0.014322,classifierData/Instrumentals
0.027632,0.016935,3.224717,0.070860,0.139739,0.016750,0.004488,0.039618,-26.186124,3.810388,-0.757765,-0.208724,-0.453479,0.388283,0.190453,0.166151,0.168759,0.150216,0.074567,-0.004212,0.000287,0.008152,0.047273,0.018524,0.001804,0.013210,0.035820,0.010120,0.000936,0.007481,0.009218,0.030113,0.015069,0.022317,-0.000122,-0.000471,-0.000627,-0.002209,-0.002535,-0.001282,0.000172,-0.000375,-0.095425,0.066604,0.009838,-0.018371,-0.014276,0.009114,0.007292,-0.001383,0.005080,0.008774,-0.005054,-0.012316,-0.012274,-0.000085,0.003449,0.000058,-0.000014,0.000186,-0.000934,0.000055,-0.000028,-0.000194,-0.000050,-0.002059,0.000353,-0.000120,0.003522,0.011813,0.073191,0.024124,0.040488,0.012174,0.003237,0.007229,1.043476,0.585319,0.299950,0.217715,0.226122,0.236366,0.188881,0.196052,0.187370,0.175227,0.162812,0.159067,0.134177,0.004417,0.031563,0.008809,0.001050,0.005775,0.018722,0.004084,0.000660,0.003905,0.004419,0.014241,0.008728,0.005383,0.003619,0.006311,0.096261,0.033870,0.058459,0.016336,0.004440,0.006436,0.911248,0.774989,0.378356,0.214761,0.197395,0.209077,0.217784,0.220953,0.192757,0.197743,0.183891,0.177434,0.160341,0.004593,0.022644,0.009493,0.001482,0.005385,0.016658,0.003913,0.000709,0.003469,0.004428,0.012838,0.007684,0.004837,classifierData/Instrumentals
0.030421,0.067564,3.209080,0.099518,0.158566,0.044234,0.016744,0.039906,-25.938794,1.153532,-1.959458,-0.830752,-0.265249,0.657973,0.219558,-0.165649,-0.317516,0.033390,0.189945,-0.064175,-0.092074,0.005232,0.008648,0.003239,0.018484,0.002984,0.045652,0.004406,0.010675,0.031907,0.002347,0.004422,0.002183,0.029424,-0.000022,-0.000145,0.001203,0.000336,0.000604,-0.000150,0.000029,-0.000037,-0.011790,0.000020,-0.003302,-0.001113,-0.000470,-0.002644,-0.000921,0.002713,0.001643,0.001745,-0.000717,-0.002394,0.000183,0.000010,0.000735,-0.000009,0.000009,-0.000011,-0.000198,-0.000030,-0.000032,0.000001,0.000000,0.000005,0.000012,0.000121,0.003102,0.062439,0.118996,0.026038,0.042365,0.021884,0.017238,0.009690,1.696893,0.609801,0.349901,0.247402,0.385677,0.247224,0.281126,0.212220,0.244722,0.283009,0.287292,0.244577,0.163115,0.007750,0.008142,0.003427,0.009976,0.003523,0.057894,0.004693,0.014051,0.044371,0.002406,0.008222,0.003639,0.018413,0.003487,0.050455,0.142220,0.035081,0.057204,0.025533,0.020773,0.009585,1.295972,0.781002,0.441485,0.333327,0.344544,0.250733,0.240608,0.244819,0.239503,0.240937,0.258643,0.216690,0.175997,0.007351,0.006456,0.003487,0.010438,0.003156,0.039479,0.004808,0.015391,0.038004,0.002892,0.009671,0.004037,0.017815,classifierData/Instrumentals
0.034021,0.012314,3.206888,0.078356,0.129867,0.053648,0.010966,0.046630,-40.102691,0.871981,-1.783782,-0.137192,-0.568839,-0.302707,-0.135555,0.262854,0.092368,0.321104,-0.041450,-0.221008,0.023167,0.023428,0.004708,0.000969,0.011035,0.040762,0.024199,0.000923,0.010047,0.004628,0.001610,0.026253,0.019866,0.032323,-0.000231,-0.000002,0.007996,-0.000917,-0.003808,-0.000312,-0.000062,-0.000223,-1.200327,0.010560,0.059194,-0.042106,0.045251,-0.003675,-0.003794,0.009397,-0.035015,-0.017171,0.002748,-0.004780,0.007017,-0.000292,-0.000126,-0.000038,-0.000012,0.000750,-0.000005,-0.000015,-0.000007,-0.000006,-0.000011,-0.000019,-0.000043,0.000129,0.006763,0.018704,0.132296,0.020892,0.035364,0.030349,0.007612,0.009101,2.616482,0.616217,0.487978,0.373857,0.348602,0.294667,0.307302,0.279340,0.300127,0.296293,0.212103,0.224917,0.154105,0.021001,0.005865,0.000826,0.014448,0.009288,0.025702,0.000942,0.011168,0.005079,0.001221,0.018824,0.013766,0.009245,0.007821,0.018875,0.181061,0.025906,0.045379,0.032988,0.009860,0.009562,1.427147,0.756459,0.559444,0.459933,0.412469,0.320750,0.297445,0.272997,0.284494,0.254894,0.230330,0.206602,0.176100,0.016553,0.004675,0.000982,0.017447,0.006055,0.028369,0.001285,0.010657,0.005793,0.001340,0.023821,0.017065,0.010913,classifierData/Instrumentals
0.037600,0.045327,3.223272,0.080777,0.139211,0.016811,0.006622,0.055548,-24.803619,2.282685,-1.982733,-0.188441,-0.872879,-0.175405,0.187110,-0.130554,0.051984,0.090407,-0.358287,-0.332359,-0.226847,0.002979,0.024534,0.010575,0.024278,0.003051,0.011228,0.001910,0.016520,0.011853,0.003148,0.034963,0.021499,0.020405,0.000072,-0.000044,0.003151,0.000120,0.000192,0.000164,0.000010,-0.000098,0.007734,0.008240,-0.002291,-0.004438,0.000904,-0.003930,0.002780,0.004503,-0.004355,-0.000822,0.001854,-0.002874,0.001368,0.000004,0.000010,0.000016,-0.000004,0.000014,0.000623,0.000005,-0.000077,-0.000044,-0.000024,-0.000083,0.000020,0.000072,0.006934,0.022756,0.105316,0.025662,0.042610,0.016826,0.012088,0.010268,1.170555,0.773131,0.592214,0.393362,0.379268,0.299119,0.361762,0.304860,0.332520,0.289228,0.324436,0.333160,0.320371,0.002943,0.015381,0.004940,0.018611,0.002803,0.011250,0.001512,0.012982,0.009661,0.002078,0.017446,0.010508,0.005283,0.005463,0.015876,0.141448,0.033895,0.059676,0.020929,0.016650,0.007169,1.268821,0.865977,0.582935,0.412901,0.320204,0.311325,0.303026,0.264567,0.306570,0.291231,0.275305,0.286390,0.255173,0.003793,0.011523,0.003736,0.010703,0.002671,0.006982,0.001456,0.008284,0.007222,0.001733,0.012262,0.005961,0.003999,classifierData/Instrumentals
0.055952,0.030825,3.208136,0.099430,0.134859,0.232444,0.013402,0.072909,-26.999938,-0.525757,-2.114647,0.074637,-0.357060,0.237654,-0.339743,0.376356,0.173467,0.075194,-0.262771,-0.046671,-0.019969,0.057718,0.008476,0.002064,0.013630,0.000938,0.019390,0.000720,0.004123,0.010850,0.001259,0.045388,0.001329,0.032032,0.000066,-0.000200,0.002594,-0.000109,-0.000682,-0.005042,-0.000009,0.000161,-0.037302,-0.029431,-0.000298,-0.004052,-0.022750,0.007563,0.020938,0.008076,0.001517,-0.032905,0.012100,-0.000159,0.002403,0.001311,0.000095,-0.000010,-0.000003,0.000012,0.000556,0.000015,0.000031,-0.000025,-0.000188,0.002104,-0.000243,0.000436,0.011874,0.033627,0.211385,0.021114,0.037084,0.182939,0.013670,0.016372,1.647949,0.690740,0.482952,0.465750,0.383697,0.426451,0.327582,0.318238,0.320161,0.314595,0.322617,0.243848,0.185458,0.056821,0.011549,0.003440,0.020228,0.001334,0.020277,0.000787,0.005552,0.012365,0.001842,0.027561,0.001919,0.015866,0.009912,0.036811,0.301900,0.026724,0.049086,0.166913,0.017700,0.015945,1.348857,0.800663,0.584052,0.480219,0.348032,0.355136,0.312902,0.305621,0.293391,0.309089,0.285501,0.235974,0.193038,0.053829,0.009257,0.004010,0.014600,0.001570,0.021063,0.000940,0.005945,0.012083,0.002284,0.022603,0.002304,0.014308,classifierData/Instrumentals
0.034142,0.049675,3.243932,0.079330,0.140791,0.017452,0.003538,0.043736,-25.056672,2.718739,-2.188130,-0.345002,-0.253640,-0.517913,-0.467179,-0.275928,-0.095533,0.107845,-0.277783,-0.310454,0.055771,0.024036,0.014953,0.011444,0.015554,0.005585,0.025616,0.003504,0.013264,0.007147,0.019937,0.069175,0.019588,0.031720,-0.000023,-0.000949,0.001971,-0.000150,-0.000181,-0.000153,-0.000002,-0.000078,-0.038337,0.015153,0.002661,0.004028,0.002207,-0.006808,0.000320,0.003402,0.006661,0.003495,-0.007560,-0.004962,0.003400,0.000039,0.000014,0.000064,-0.000032,-0.000024,-0.000015,-0.000014,-0.000224,-0.000054,0.000314,0.000516,0.000235,0.000086,0.003868,0.027515,0.079734,0.026145,0.044396,0.016626,0.005798,0.004025,1.105956,0.742113,0.460880,0.315092,0.324204,0.320275,0.240967,0.249604,0.211913,0.252784,0.264859,0.245918,0.163970,0.007367,0.004776,0.007383,0.005993,0.003122,0.015082,0.002053,0.011793,0.005360,0.010496,0.031398,0.008215,0.008627,0.003092,0.016908,0.107658,0.034599,0.058639,0.021313,0.007624,0.002673,0.993959,0.922456,0.556944,0.381409,0.348272,0.283805,0.251194,0.251062,0.249857,0.211261,0.244426,0.220476,0.194136,0.007155,0.003964,0.004348,0.004023,0.003264,0.011110,0.002094,0.008008,0.004038,0.007308,0.017351,0.005788,0.005044,classifierData/Instrumentals
0.033889,0.015471,3.209481,0.099120,0.160506,0.116332,0.009213,0.045450,-28.634910,1.979282,-2.161258,-1.249561,-0.080554,0.210830,0.124786,0.067494,-0.039394,-0.043069,0.103419,0.061334,-0.165160,0.023190,0.049203,0.021286,0.001553,0.003015,0.030762,0.002205,0.002855,0.004192,0.001883,0.004328,0.003409,0.028931,-0.000280,-0.000625,0.003887,0.001065,0.001400,-0.003333,-0.000111,-0.000747,-0.037872,-0.024612,-0.002293,-0.011980,-0.020611,-0.009126,0.007878,0.005707,-0.001270,-0.007226,-0.000319,0.002186,-0.000828,-0.000414,0.000038,-0.001521,0.000096,0.000007,0.000179,-0.000012,-0.000008,-0.000114,-0.000009,-0.000006,-0.000006,-0.000488,0.009473,0.010897,0.161820,0.025755,0.034572,0.192869,0.012785,0.030447,1.678419,0.734242,0.546272,0.424420,0.342726,0.320713,0.334200,0.242930,0.209645,0.217011,0.158308,0.233887,0.190399,0.026652,0.039246,0.015543,0.001320,0.003322,0.041187,0.001527,0.002746,0.004172,0.001735,0.004750,0.003891,0.014302,0.012251,0.007342,0.227715,0.036908,0.052796,0.251727,0.017109,0.043273,1.417807,0.975182,0.505964,0.433468,0.339299,0.280614,0.319686,0.249952,0.190674,0.190266,0.161315,0.170088,0.164472,0.014913,0.018379,0.009126,0.001176,0.002736,0.023152,0.001856,0.002553,0.003088,0.001453,0.003500,0.002758,0.009225,classifierData/Instrumentals
